Name,EpiLife,Category
Glycine,Present,Amino Acids
L-Alanine,Present,Amino Acids
L-Arginine hydrochloride,Present,Amino Acids
L-Asparagine-H2O,Present,Amino Acids
L-Aspartic acid,Present,Amino Acids
L-Cysteine,Present,Amino Acids
L-Glutamic Acid,Present,Amino Acids
L-Glutamine,Present,Amino Acids
L-Histidine hydrochloride-H2O,Present,Amino Acids
L-Isoleucine,Present,Amino Acids
L-Leucine,Present,Amino Acids
L-Lysine hydrochloride,Present,Amino Acids
L-Methionine,Present,Amino Acids
L-Phenylalanine,Present,Amino Acids
L-Proline,Present,Amino Acids
L-Serine,Present,Amino Acids
L-Threonine,Present,Amino Acids
L-Tryptophan,Present,Amino Acids
L-Tyrosine,Present,Amino Acids
L-Valine,Present,Amino Acids
Choline chloride,Present,Vitamins
D-Pantothenic Acid,Present,Vitamins
Folic Acid,Present,Vitamins
Myo-Inositol,Present,Vitamins
Niacinamide,Present,Vitamins
Pyridoxal hydrochloride,Present,Vitamins
Riboflavin,Present,Vitamins
Thiamine hydrochloride,Present,Vitamins
Vitamin B12,Present,Vitamins
d-Biotin,Present,Vitamins
Ammonium Molybdate ((NH4)6Mo7O24-4H2O),Present,Inorganic Salts
Ammonium metavanadate (NH4VO3),Present,Inorganic Salts
Calcium Chloride (CaCl2-2H2O),Present,Inorganic Salts
Cupric sulfate (CuSO4-5H2O),Present,Trace Elements
Ferric sulfate (FeSO4-7H2O),Present,Inorganic Salts
Magnesium Chloride (MgCl2-6H2O),Present,Inorganic Salts
Manganese Sulfate (MnSO4-H20),Present,Inorganic Salts
Nickelous Chloride NiCl2 6H2O,Present,Inorganic Salts
Potassium Chloride (KCl),Present,Inorganic Salts
Sodium Bicarbonate (NaHCO3),Present,Inorganic Salts
Sodium Chloride (NaCl),Present,Inorganic Salts
Sodium Meta Silicate Na2SiO3 9H2O,Present,Inorganic Salts
Sodium Phosphate dibasic (Na2HPO4-7H2O),Present,Inorganic Salts
Sodium Selenite (Na2SeO3),Present,Trace Elements
Tin Chloride (SnCl2.2H2O),Present,Inorganic Salts
Zinc sulfate (ZnSO4-7H2O),Present,Inorganic Salts
Adenine.HCl,Present,Other
D-Glucose (Dextrose),Present,Carbohydrates
DL-alpha-Lipoic Acid,Present,Other
Ethanolamine,Present,Other
HEPES,Present,Other
O-Phosphorylethanolamine,Present,Other
Phenol Red,Present,Other
Putrescine 2HCl,Present,Other
Sodium Pyruvate,Present,Other
Thymidine,Present,Other
