Name,KOSR,Category
Glycine,Present,Amino acids
L-Alanine,Absent,Amino acids
L-Histidine ,Present,Amino acids
L-Isoleucine,Present,Amino acids
L-Methionine,Present,Amino acids
L-Phenylalanine,Present,Amino acids
L-Proline,Present,Amino acids
L-Hydroxyproline,Present,Amino acids
L-Serine,Present,Amino acids
L-Threonine,Present,Amino acids
L-Tryptophan,Present,Amino acids
L-Tyrosine ,Present,Amino acids
L-Valine,Present,Amino acids
Ascorbic Acid phosphate,Present,Vitamins
Thiamine ,Present,Vitamins
AlbuMAX® II,Present,Proteins
Transferrin (iron saturated),Present,Proteins
Insulin,Present,Proteins
Glutathione (reduced),Present,Other
Silver,Present,Trace elements
Aluminum,Present,Trace elements
Barium,Present,Trace elements
Cadmium,Present,Trace elements
Cobalt,Present,Trace elements
Chromium,Present,Trace elements
Germanium,Present,Trace elements
Selenium,Present,Inorganic salts
Bromine,Present,Trace elements
Iodine,Present,Trace elements
Fluorine,Present,Trace elements
Manganase,Present,Trace elements
Silicon,Present,Trace elements
Vanadium,Present,Trace elements
Molybdenum,Present,Trace elements
Nickel,Present,Trace elements
Rubidium,Present,Trace elements
Tin,Present,Trace elements
Zirconium,Present,Trace elements
