Name,N2B27,Category
L-Alanine,4.45,Amino acids
L-Arginine • HCl,147.5,Amino acids
L-Asparagine • H2O,7.5,Amino acids
L-Aspartic Acid,6.65,Amino acids
L-Cystine • 2HCl,31.29,Amino acids
L-Cysteine • HCl • H2O,17.56,Amino acids
L-Glutamic Acid,7.35,Amino acids
L-Glutamine,365,Amino acids
Glycine,18.75,Amino acids
L-Histidine • HCl • H2O,31.48,Amino acids
L-Isoleucine,54.47,Amino acids
L-Leucine,59.05,Amino acids
L-Lysine • HCl,91.25,Amino acids
L-Methionine,17.24,Amino acids
L-Phenylalanine,35.48,Amino acids
L-Proline,17.25,Amino acids
L-Serine,26.25,Amino acids
L-Threonine,53.45,Amino acids
L-Tryptophan,9.02,Amino acids
L-Tyrosine • 2Na • 2H2O,55.79,Amino acids
L-Valine,52.85,Amino acids
D-Biotin,0.0035,Vitamins
Choline Chloride,8.98,Vitamins
D-Pantothenic Acid (hemicalcium),2.24,Vitamins
Folic Acid,2.65,Vitamins
Niacinamide,2.02,Vitamins
Pyridoxine • HCl,2.031,Vitamins
Pyridoxal • HCl,2,Vitamins
Riboflavin,0.219,Vitamins
Thiamine • HCl,2.17,Vitamins
myo-Inositol,12.6,Vitamins
Vitamin B12,0.68,Vitamins
Ammonium Molybdate • 4H2O,0.00618,Inorganic salts
Calcium Chloride,116.6,Inorganic salts
Ferric Nitrate • 9H2O,0.05,Inorganic salts
Ferrous Sulfate • 7H2O,0.417,Inorganic salts
Magnesium Sulfate (anhydrous),48.84,Inorganic salts
Magnesium Chloride • 6H2O,61.2,Inorganic salts
Manganese Sulfate,0.000151,Inorganic salts
Nickel Chloride,0.00012,Inorganic salts
Potassium Chloride,311.8,Inorganic salts
Sodium Chloride,6996,Inorganic salts
Sodium Metasilicate • 9H2O,0.0142,Inorganic salts
Sodium Phosphate Monobasic (anhydrous),54.3,Inorganic salts
Sodium Phosphate Dibasic (anhydrous),71.02,Inorganic salts
Stannous Chloride • 2H2O,0.00011,Inorganic salts
Zinc Sulfate • 7H2O,0.432,Inorganic salts
Ammonium Metavandate,0.00058,Trace elements
Cupric Sulfate • 5H2O,0.0013,Trace elements
Sodium Selenite,0.00519,Trace elements
D-Glucose,3150,Carbohydrates
Phenol Red • Na,8.63,Other
Pyruvic Acid • Na,110,Other
Hypoxanthine,2.1,Other
Linoleic Acid,0.042,Other
Putrescine • HCl,0.081,Other
DL-Thioctic Acid,0.105,Other
Thymidine,0.365,Other
Glycine,30,Amino Acids
L-Alanine,2,Amino Acids
L-Arginine hydrochloride,84,Amino Acids
L-Asparagine-H2O,0.83,Amino Acids
L-Cysteine,31.5,Amino Acids
L-Histidine hydrochloride-H2O,42,Amino Acids
L-Isoleucine,105,Amino Acids
L-Leucine,105,Amino Acids
L-Lysine hydrochloride,146,Amino Acids
L-Methionine,30,Amino Acids
L-Phenylalanine,66,Amino Acids
L-Proline,7.76,Amino Acids
L-Serine,42,Amino Acids
L-Threonine,95,Amino Acids
L-Tryptophan,16,Amino Acids
L-Tyrosine,72,Amino Acids
L-Valine,94,Amino Acids
Choline chloride,4,Vitamins
D-Calcium pantothenate,4,Vitamins
Folic Acid,4,Vitamins
Niacinamide,4,Vitamins
Pyridoxal hydrochloride,4,Vitamins
Riboflavin,0.4,Vitamins
Thiamine hydrochloride,4,Vitamins
Vitamin B12,0.0068,Vitamins
i-Inositol,7.2,Vitamins
Calcium Chloride (CaCl2) (anhyd.),200,Inorganic Salts
"Ferric Nitrate (Fe(NO3)3""9H2O)",0.1,Inorganic Salts
Magnesium Chloride (anhydrous),77.3,Inorganic Salts
Potassium Chloride (KCl),400,Inorganic Salts
Sodium Bicarbonate (NaHCO3),2200,Inorganic Salts
Sodium Chloride (NaCl),3000,Inorganic Salts
Sodium Phosphate monobasic (NaH2PO4-H2O),125,Inorganic Salts
Zinc sulfate (ZnSO4-7H2O),0.194,Inorganic Salts
D-Glucose (Dextrose),4500,Carbohydrates
HEPES,2600,Other
Phenol Red,8.1,Other
Sodium Pyruvate,25,Other
Apo-transferrin,100,Proteins
BSA,50,Proteins
Insulin,25,Proteins
Progesterone,0.02,Other
Putrescine,16,Other
Sodium Selenite,0.0052,Trace elements
Mercaptoethanol,7.82,Other
L-Glutamine,584.6,Amino acids
Biotin,Present,Vitamins
DL Alpha Tocopherol Acetate,Present,Vitamins
DL Alpha-Tocopherol,Present,Vitamins
Vitamin A (acetate),Present,Vitamins
"BSA, fatty acid free Fraction V",Present,Proteins
Catalase,Present,Proteins
Human Recombinant Insulin,Present,Proteins
Human Transferrin,Present,Proteins
Superoxide Dismutase,Present,Proteins
Corticosterone,Present,Other
D-Galactose,Present,Other
Ethanolamine HCl,Present,Other
Glutathione (reduced),Present,Other
L-Carnitine HCl,Present,Other
Linoleic Acid,Present,Other
Linolenic Acid,Present,Other
Progesterone,Present,Other
Putrescine 2HCl,Present,Other
Sodium Selenite,Present,Other
T3 (triodo-I-thyronine),Present,Other
