Name,aDMEM ,Category
Glycine,37.5,Amino acids
L-Alanine,8.9,Amino acids
L-Arginine • HCl,84,Amino acids
L-Asparagine • H2O,13.2,Amino acids
L-Aspartic Acid,13.3,Amino acids
L-Cystine • 2HCl,63,Amino acids
L-Glutamic Acid,14.7,Amino acids
L-Histidine • HCl • H2O,42,Amino acids
L-Isoleucine,105,Amino acids
L-Leucine,105,Amino acids
L-Lysine • HCl,146,Amino acids
L-Methionine,30,Amino acids
L-Phenylalanine,66,Amino acids
L-Proline,11.5,Amino acids
L-Serine,52.5,Amino acids
L-Threonine,95,Amino acids
L-Tryptophan,16,Amino acids
L-Tyrosine • 2Na • 2H2O,104,Amino acids
L-Valine,94,Amino acids
Ascorbic Acid phosphate,2.5,Vitamins
Choline Chloride,4,Vitamins
D-Pantothenic Acid (hemicalcium),4,Vitamins
Folic Acid,4,Vitamins
Niacinamide,4,Vitamins
Pyridoxine • HCl,4,Vitamins
Riboflavin,0.4,Vitamins
Thiamine • HCl,4,Vitamins
myo-Inositol,7.2,Vitamins
Calcium Chloride,200,Inorganic salts
Ferric Nitrate • 9H2O,0.1,Inorganic salts
Magnesium Sulfate (anhydrous),97.67,Inorganic salts
Potassium Chloride,400,Inorganic salts
Sodium Bicarbonate,3700,Inorganic salts
Sodium Chloride,6400,Inorganic salts
Sodium Phosphate Dibasic (anhydrous),125,Inorganic salts
AlbuMAX® II,400,Proteins
Human Transferrin (Holo),7.5,Proteins
Insulin Recombinant Full Chain,10,Proteins
Ammonium Metavandate,3.00E-04,Trace elements
Cupric Sulfate • 5H2O,0.00125,Trace elements
Manganous Chloride,5.00E-05,Trace elements
Sodium Selenite,0.005,Trace elements
D-Glucose,4500,Carbohydrates
Ethanolamine,1.9,Other
Glutathione (reduced),1,Other
Phenol Red • Na,15,Other
Pyruvic Acid • Na,110,Other
